snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
0,1629,1644,MP*1,MP*1,M,M,True,0.1962809
0,1667,1674,MP*1,MP*1,M,M,True,0.1961287
0,1170,1678,MP*1,MP*1,M,M,True,0.19501933
0,1657,1679,MP*1,MP*1,M,M,True,0.18875563
0,1601,1613,MP*1,MP*1,M,M,True,0.18831559
0,683,692,PC,PC,F,M,True,0.18708991
0,616,651,PC,PC,M,M,True,0.18349424
0,853,864,PSI*,PSI*,F,M,True,0.17695963
0,1108,1645,MP*1,MP*1,M,M,True,0.17404345
0,867,868,PSI*,PSI*,M,M,True,0.17333661
0,1651,1674,MP*1,MP*1,M,M,True,0.17314804
0,609,690,PC,PC,M,M,True,0.17295521
0,1622,1651,MP*1,MP*1,M,M,True,0.17219809
0,654,658,PC,PC,M,M,True,0.17218497
0,623,651,PC,PC,F,M,True,0.16983514
0,826,1613,PSI*,MP*1,M,M,False,0.16948399
0,1108,1632,MP*1,MP*1,M,M,True,0.16717407
0,616,623,PC,PC,M,F,True,0.16647235
0,1181,1613,MP*1,MP*1,M,M,True,0.16313982
0,610,623,PC,PC,M,F,True,0.16265239
0,610,654,PC,PC,M,M,True,0.16251072
0,1644,1667,MP*1,MP*1,M,M,True,0.15920842
0,1629,1667,MP*1,MP*1,M,M,True,0.15920842
0,1651,1657,MP*1,MP*1,M,M,True,0.15481427
0,651,654,PC,PC,M,M,True,0.15408212
0,1170,1672,MP*1,MP*1,M,M,True,0.15183119
0,1671,1672,MP*1,MP*1,M,M,True,0.15183119
0,826,1657,PSI*,MP*1,M,M,False,0.15144634
0,1144,1613,MP*1,MP*1,F,M,True,0.15014194
0,1108,1144,MP*1,MP*1,M,F,True,0.14741591
0,1181,1657,MP*1,MP*1,M,M,True,0.1453737
0,690,815,PC,PC*,M,M,False,0.14505176
0,682,891,PC,PC*,M,M,False,0.14407158
0,889,890,PC*,PC*,M,M,True,0.14407155
0,613,658,PC,PC,M,M,True,0.14231063
0,616,683,PC,PC,M,F,True,0.1415925
0,616,692,PC,PC,M,M,True,0.14059944
0,623,654,PC,PC,F,M,True,0.1393539
0,692,698,PC,PC,M,M,True,0.13886383
0,1108,1601,MP*1,MP*1,M,M,True,0.13650279
0,636,851,PC,PSI*,M,M,False,0.1342462
0,1190,1667,MP*1,MP*1,M,M,True,0.13346705
0,1144,1657,MP*1,MP*1,F,M,True,0.13203241
0,609,658,PC,PC,M,M,True,0.13166997
0,1108,1622,MP*1,MP*1,M,M,True,0.13095288
0,891,894,PC*,PC*,M,M,True,0.12546478
0,658,690,PC,PC,M,M,True,0.12518057
0,623,692,PC,PC,F,M,True,0.12356654
0,651,692,PC,PC,M,M,True,0.11582357
0,654,692,PC,PC,M,M,True,0.11582357
0,1108,1629,MP*1,MP*1,M,M,True,0.11069905
0,857,1622,PSI*,MP*1,M,M,False,0.11069359
0,857,1181,PSI*,MP*1,M,M,False,0.11069354
0,857,1164,PSI*,MP*1,M,M,False,0.11069354
0,826,857,PSI*,PSI*,M,M,True,0.11069354
0,610,658,PC,PC,M,M,True,0.11054797
0,823,868,PC*,PSI*,M,M,False,0.10776125
0,1170,1632,MP*1,MP*1,M,M,True,0.10756398
0,1170,1671,MP*1,MP*1,M,M,True,0.10756398
0,616,654,PC,PC,M,M,True,0.10708238
0,826,1651,PSI*,MP*1,M,M,False,0.10579067
0,1108,1613,MP*1,MP*1,M,M,True,0.10461915
0,1108,1644,MP*1,MP*1,M,M,True,0.10461915
0,1492,1645,MP*1,MP*1,M,M,True,0.10367906
0,1492,1674,MP*1,MP*1,M,M,True,0.10367906
0,1632,1671,MP*1,MP*1,M,M,True,0.10109999
0,1181,1651,MP*1,MP*1,M,M,True,0.10040534
0,851,864,PSI*,PSI*,M,M,True,0.10012197
0,1164,1622,MP*1,MP*1,M,M,True,0.09736934
0,1164,1645,MP*1,MP*1,M,M,True,0.09736928
0,826,1164,PSI*,MP*1,M,M,False,0.09736928
0,1164,1181,MP*1,MP*1,M,M,True,0.09736928
0,636,892,PC,PC*,M,M,False,0.09484722
0,636,864,PC,PSI*,M,M,False,0.09484722
0,1108,1657,MP*1,MP*1,M,M,True,0.09469377
0,1622,1645,MP*1,MP*1,M,M,True,0.09317369
